#,Name,Type,Total,HP,Attack,Defense,Sp.Atk,Sp.Def,Speed
687,Malamar,Water,482,86,92,88,68,75,73
688,Binacle,Water,306,42,52,67,39,56,50
689,Barbaracle,Water,500,72,105,115,54,86,68
690,Skrelp,Water,320,50,60,60,60,60,30
691,Dragalge,Water,494,65,75,90,97,123,44
692,Clauncher,Water,330,50,53,62,58,63,44
693,Clawitzer,Water,500,71,73,88,120,89,59
694,Helioptile,Water,289,44,38,33,61,43,70
695,Heliolisk,Water,481,62,55,52,109,94,109
696,Tyrunt,Water,362,58,89,77,45,45,48
697,Tyrantrum,Water,521,82,121,119,69,59,71
698,Amaura,Water,362,77,59,50,67,63,46
699,Aurorus,Water,521,123,77,72,99,92,58
700,Sylveon,Water,525,95,65,65,110,130,60
701,Hawlucha,Water,500,78,92,75,74,63,118
702,Dedenne,Water,431,67,58,57,81,67,101
703,Carbink,Water,500,50,50,150,50,150,50
704,Goomy,Water,300,45,50,35,55,75,40
705,Sliggoo,Water,452,68,75,53,83,113,60
706,Goodra,Water,600,90,100,70,110,150,80
707,Klefki,Water,470,57,80,91,80,87,75
708,Phantump,Water,309,43,70,48,50,60,38
709,Trevenant,Water,474,85,110,76,65,82,56
710,PumpkabooAverage Size,Water,335,49,66,70,44,55,51
710,PumpkabooSmall Size,Water,335,44,66,70,44,55,56
710,PumpkabooLarge Size,Water,335,54,66,70,44,55,46
710,PumpkabooSuper Size,Water,335,59,66,70,44,55,41
711,GourgeistAverage Size,Water,494,65,90,122,58,75,84
711,GourgeistSmall Size,Water,494,55,85,122,58,75,99
711,GourgeistLarge Size,Water,494,75,95,122,58,75,69
711,GourgeistSuper Size,Water,494,85,100,122,58,75,54
712,Bergmite,Water,304,55,69,85,32,35,28
713,Avalugg,Water,514,95,117,184,44,46,28
714,Noibat,Water,245,40,30,35,45,40,55
715,Noivern,Water,535,85,70,80,97,80,123
716,Xerneas,Water,680,126,131,95,131,98,99
717,Yveltal,Water,680,126,131,95,131,98,99
718,Zygarde50% Forme,Water,600,108,100,121,81,95,95
719,Diancie,Water,600,50,100,150,100,150,50
719,DiancieMega Diancie,Water,700,50,160,110,160,110,110
720,HoopaHoopa Confined,Water,600,80,110,60,150,130,70
720,HoopaHoopa Unbound,Water,680,80,160,60,170,130,80
721,Volcanion,Water,600,80,110,120,130,90,70
